#"Step","Potential Energy (kJ/mole)","Temperature (K)"
414,0.0,142.515890444
415,0.0,143.901825858
416,0.0,147.497988146
417,0.0,135.866457065
418,0.0,159.650608958
419,0.0,141.41182288
420,0.0,149.1594462
421,0.0,144.944242844
422,0.0,168.694388478
423,0.0,169.893744787
424,0.0,166.446536566
425,0.0,192.279050047
426,0.0,228.146097851
427,0.0,223.587708116
428,0.0,204.135930359
429,0.0,198.006049841
430,0.0,186.893742501
431,0.0,177.37043683
432,0.0,181.921647518
433,0.0,176.776984819
434,0.0,166.753819065
435,0.0,149.015850737
436,0.0,171.825968247
437,0.0,164.895091896
438,0.0,157.624101256
439,0.0,176.697205026
440,0.0,155.109650343
441,0.0,136.859493024
442,0.0,139.805015683
443,0.0,174.600990884
444,0.0,155.696393673
445,0.0,171.329595314
446,0.0,187.064104947
447,0.0,171.969752452
448,0.0,220.471880182
449,0.0,193.330970721
450,0.0,184.284410214
451,0.0,171.591531279
452,0.0,186.857702138
453,0.0,185.559168656
454,0.0,159.626069908
455,0.0,170.033356091
456,0.0,176.894247459
457,0.0,167.458352088
458,0.0,168.950739636
459,0.0,168.094068791
460,0.0,136.167637035
461,0.0,124.540178543
462,0.0,145.439437541
463,0.0,158.418677745
464,0.0,129.1485015
465,0.0,138.701538766
466,0.0,144.768853091
467,0.0,171.962442438
468,0.0,185.50441981
469,0.0,168.26202613
470,0.0,171.823394299
471,0.0,164.292721183
472,0.0,176.71331613
473,0.0,165.384220009
474,0.0,204.824568538
475,0.0,209.428599444
476,0.0,187.305425086
477,0.0,189.557979453
478,0.0,184.860677733
479,0.0,206.781475441
480,0.0,201.429599171
481,0.0,213.738385353
482,0.0,211.093131082
483,0.0,217.475862753
484,0.0,193.210756539
485,0.0,193.348724562
486,0.0,171.687056079
487,0.0,132.789923942
488,0.0,142.544450101
489,0.0,133.482766829
490,0.0,150.061051918
491,0.0,178.213157119
492,0.0,167.077083317
493,0.0,156.588587629
494,0.0,166.161373514
495,0.0,162.816952074
496,0.0,151.754255899
497,0.0,151.369242408
498,0.0,125.142104543
499,0.0,126.030735001
500,0.0,130.824535115
501,0.0,122.177950183
502,0.0,95.8742616063
503,0.0,108.605597535
504,0.0,83.8801945761
505,0.0,83.7335936352
506,0.0,59.0271881892
507,0.0,65.6571690112
508,0.0,51.452891052
509,0.0,43.1392973062
510,0.0,29.7042840969
511,0.0,36.7777380332
512,0.0,28.1820002836
513,0.0,44.4814870427
514,0.0,69.3113811795
515,0.0,79.0233860846
516,0.0,73.8200980813
517,0.0,71.3652778397
518,0.0,82.9334367049
519,0.0,83.1633148006
520,0.0,86.0270238267
521,0.0,81.8757551107
522,0.0,65.0590034149
523,0.0,80.2129701173
524,0.0,82.9149804176
525,0.0,101.990019052
526,0.0,74.7572758892
527,0.0,93.2720012835
528,0.0,92.3346040757
529,0.0,103.225868056
530,0.0,107.101861164
531,0.0,108.943062868
532,0.0,110.636547149
533,0.0,113.710918025
534,0.0,72.591011434
535,0.0,53.5357691976
536,0.0,57.8139319827
537,0.0,65.7560564996
538,0.0,69.6699178411
539,0.0,67.1524711136
540,0.0,68.550441277
541,0.0,64.4882094915
542,0.0,52.8784548928
543,0.0,67.5131815993
544,0.0,62.3383604831
545,0.0,73.4318820964
546,0.0,64.398138295
547,0.0,63.6720507888
548,0.0,54.624460954
549,0.0,49.4048650731
550,0.0,38.6926284276
551,0.0,44.9981630433
552,0.0,43.455996156
553,0.0,31.6064876451
554,0.0,40.3461642323
555,0.0,48.6307058177
556,0.0,34.3798159789
557,0.0,27.2320328683
558,0.0,46.5500168533
559,0.0,42.6043810697
560,0.0,46.4788122005
561,0.0,47.7450223914
562,0.0,31.1892000473
563,0.0,30.3197734696
564,0.0,32.953190005
565,0.0,24.7564299438
566,0.0,25.3750571803
567,0.0,24.2770951116
568,0.0,26.4141855927
569,0.0,22.0662354799
570,0.0,20.482305758
571,0.0,19.8718271344
572,0.0,14.2862304687
573,0.0,14.1705719289
574,0.0,12.7898040395
575,0.0,19.2268082286
576,0.0,24.9810890504
577,0.0,22.3161022183
578,0.0,29.4035758312
579,0.0,34.5741608995
580,0.0,42.6063449885
581,0.0,43.7849300008
582,0.0,53.6028308208
583,0.0,58.9017637214
584,0.0,56.4770030471
585,0.0,61.0023083832
586,0.0,54.5388153013
587,0.0,38.1292076468
588,0.0,29.7354956873
589,0.0,32.6680516441
590,0.0,36.2427428315
591,0.0,43.6497500804
592,0.0,40.4629312681
593,0.0,22.9908499797
594,0.0,23.1517067847
595,0.0,19.2077178328
596,0.0,11.0915552231
597,0.0,13.0017413792
598,0.0,14.7304654177
599,0.0,16.0554960003
600,0.0,16.1388140746
601,0.0,11.5158604549
602,0.0,13.9556410929
