#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
199,-489.706684823,49.4751159597,-440.231568863,1983.49388695
200,-481.829468138,40.8004263204,-441.029041818,1635.71918169
201,-479.734333655,39.105207646,-440.629126009,1567.7566148
202,-484.127797012,42.662832525,-441.464964487,1710.38441997
203,-493.638968772,51.6197086389,-442.019260133,2069.47218911
204,-505.11722144,62.1115733738,-443.005648066,2490.09878413
205,-516.003154238,72.0085197848,-443.994634453,2886.87466479
206,-524.589219301,81.4144943779,-443.174724923,3263.96712318
207,-530.375024789,88.9305524518,-441.444472337,3565.29143449
208,-533.717958278,91.1791513161,-442.538806962,3655.43942131
209,-541.586577642,98.8928888059,-442.693688837,3964.68884619
210,-549.75267941,103.410416142,-446.342263268,4145.7998488
211,-547.243207501,101.469446914,-445.773760587,4067.98496096
212,-542.668298539,95.6038975651,-447.064400974,3832.8307617
213,-539.022399923,90.7134441843,-448.308955739,3636.76887894
214,-536.184758572,88.8065416554,-447.378216916,3560.3197502
215,-534.055707875,89.2519876571,-444.803720218,3578.17800893
216,-532.626728595,89.5573141071,-443.069414488,3590.41877149
217,-531.977875891,87.9228456431,-444.055030248,3524.89172534
218,-532.054415476,86.6698896366,-445.38452584,3474.65979498
219,-532.881298163,89.1439097747,-443.737388389,3573.84508692
220,-534.512485571,88.9376497246,-445.574835846,3565.57596939
221,-536.888208885,91.2654876553,-445.62272123,3658.90070882
222,-540.064330614,94.5346034572,-445.529727157,3789.96197231
223,-544.150808876,98.4094523954,-445.741356481,3945.30752396
224,-549.197060835,102.079189795,-447.11787104,4092.43000274
225,-555.256911648,106.36433472,-448.892576929,4264.2246231
226,-552.891016638,104.178149355,-448.712867283,4176.57883952
227,-541.506430444,94.278475222,-447.227955222,3779.69360246
228,-537.0546968,87.6127445781,-449.441952222,3512.45954494
229,-529.95885803,79.1534082836,-450.805449746,3173.31851409
